Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
AARIYAH ,7,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARNA ,24,23,14,24,19,8,19,10,6,:,:,:,:,:,:,:,:,:,:,:
AAROHI ,11,27,9,6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARTHI ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,4,:,:
AARTI ,:,:,:,:,:,:,:,5,5,4,3,:,3,3,5,5,5,:,7,8
AARUHI ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARUSHI ,12,15,8,6,10,10,11,6,13,7,5,4,3,3,:,:,:,:,:,:
AARVI ,6,7,6,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYA ,70,51,41,52,28,18,15,12,5,6,4,5,3,:,:,:,:,:,:,:
AARYAHI ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYANA ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYANNA ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
AARZO ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
AARZOO ,4,:,:,:,:,3,:,:,:,:,6,:,3,5,4,6,4,:,:,:
AARZU ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
AASHA ,:,3,3,3,:,3,3,:,3,3,:,4,:,4,:,3,:,:,:,:
AASHI ,8,7,12,11,8,9,7,7,5,3,5,:,:,:,:,:,:,:,:,:
AASHIKA ,:,:,:,:,:,:,:,4,3,3,:,:,:,:,:,:,:,:,:,:
AASHIYANA ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AASHNA ,9,7,7,5,10,5,4,3,3,5,5,:,:,:,:,:,:,3,:,:
AASHNI ,:,3,4,3,4,:,:,:,3,:,:,4,3,:,:,:,3,3,:,:
AASHRITHA ,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AASHRIYA ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AASHVI ,14,4,:,:,:,:,6,:,:,:,:,:,:,:,:,:,:,:,:,:
AASIA ,8,3,:,:,7,5,5,4,:,5,:,3,:,3,:,:,:,4,4,:
AASIYA ,8,9,17,19,14,13,11,9,4,6,8,4,9,6,4,6,5,7,:,3
AASIYAH ,40,31,32,24,23,22,18,15,10,11,16,13,7,8,5,8,8,8,8,3
AASTHA ,3,:,:,:,:,:,:,3,:,3,3,4,3,:,:,:,:,:,:,:
AATHAVI ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AATHIRA ,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AATIFA ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AATIKA ,:,4,4,:,3,:,3,:,:,4,3,3,:,:,:,:,:,3,3,:
AATIKAH ,5,4,:,:,5,4,3,:,5,3,3,4,4,3,4,3,4,:,:,4
AATIQA ,:,:,:,:,:,:,:,5,3,:,:,:,:,:,:,:,:,:,:,:
AATIQAH ,:,:,:,:,:,3,:,:,:,:,:,:,5,:,:,:,:,:,3,:
AAVA ,4,5,:,:,:,4,:,:,3,:,:,:,:,:,:,:,:,:,:,:
AAVNI ,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAVYA ,8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYA ,4,:,:,5,:,4,4,3,4,4,11,:,4,6,4,:,:,:,:,:
AAYAH ,14,10,12,9,7,6,5,:,4,3,:,5,:,:,:,:,:,:,:,:
AAYANA ,3,:,3,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYAT ,32,52,29,40,7,5,:,:,4,4,3,:,:,:,:,:,:,:,:,:
AAYATH ,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYESHA ,:,:,4,:,:,:,:,3,:,:,:,:,:,:,4,:,:,:,:,3
AAYLA ,9,:,5,4,4,:,:,:,4,4,3,:,:,:,:,:,:,:,:,:
AAYLIAH ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYMA ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYRA ,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYRAH ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYSHA ,:,:,:,:,4,4,:,:,:,:,:,4,:,:,:,:,:,:,:,:
AAYUSHI ,:,:,:,:,6,5,5,5,4,3,:,:,:,:,4,:,:,:,:,:
AAYZA ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:
AAZEEN ,3,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABA ,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,3,:,:,:,:
ABAGAEL ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:
ABAGAIL ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5,5,5,3,3
ABAIGEAL ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
ABBE ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,3,:,3,:,:,5
ABBEE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,3
ABBEY ,31,50,45,63,70,65,69,105,87,93,114,183,187,194,217,219,231,239,274,249
ABBEYGAIL ,:,:,:,4,:,5,:,:,:,:,:,:,4,7,3,6,4,6,11,6
ABBEYGALE ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,3,:,:,:,3,4
ABBEYGAYLE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4
ABBEY-LEIGH ,:,:,:,:,:,:,:,:,:,:,:,:,4,4,:,:,:,:,:,:
ABBEY-LOUISE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:
ABBI ,5,11,11,25,26,19,35,48,38,65,70,99,95,99,91,103,75,72,81,72
ABBIE ,137,196,230,308,332,422,465,599,655,727,1004,1251,1287,1153,1129,1116,1044,1073,1067,1297
ABBIEGAIL ,:,:,4,3,3,3,3,3,:,4,9,10,7,5,5,4,7,5,3,4
ABBIE-GAIL ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:
ABBIEGALE ,:,:,:,:,:,:,:,:,:,:,:,:,4,:,3,:,4,:,3,:
ABBIEGAYLE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
ABBIE-GAYLE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3
ABBIE-GRACE ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABBIE-JAI ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABBIE-JANE ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
ABBIE-JO ,:,:,:,:,:,:,:,:,3,3,:,:,4,3,3,:,:,:,3,:
ABBIE-LEA ,:,:,:,:,:,:,:,:,:,:,3,:,:,3,:,:,:,:,:,:
ABBIE-LEE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:
ABBIELEIGH ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABBIE-LEIGH ,:,3,5,5,7,3,8,10,4,6,7,8,9,6,3,3,8,13,3,5
ABBIELOUISE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
ABBIE-LOUISE ,:,:,:,:,4,:,3,3,3,5,3,5,:,8,:,3,7,3,6,4
ABBIE-MAE ,3,5,3,4,3,:,:,4,6,:,:,:,3,3,3,:,5,:,:,:
ABBIE-MAI ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
ABBIE-MAY ,:,3,:,3,4,4,5,3,:,:,6,:,3,4,:,4,3,:,:,:
ABBIE-ROSE ,3,:,:,4,3,:,:,:,:,:,3,3,:,:,3,:,:,3,:,:
ABBIGAIL ,5,15,15,19,14,24,17,27,27,21,33,34,34,35,40,40,28,38,50,47
ABBIGALE ,:,:,3,:,:,:,5,3,:,:,5,9,:,:,3,4,7,6,8,3
ABBIGAYLE ,:,:,:,:,:,:,4,3,:,3,:,3,:,:,:,:,3,:,5,5
ABBI-LEIGH ,:,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:
ABBI-LOUISE ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABBI-MAE ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABBY ,45,59,68,71,105,101,106,129,201,159,242,402,500,456,442,364,286,280,264,276
ABBYGAEL ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABBYGAIL ,:,6,3,:,:,3,7,4,6,6,6,6,11,8,9,16,6,:,8,8
ABBYGALE ,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:,3,:,:,5,:
ABBYGAYLE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,3
ABBY-LEIGH ,:,:,:,:,:,:,:,:,:,:,:,:,:,5,:,:,5,:,:,:
ABBY-MAY ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
ABEDA ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,3,3,:,3,3
ABEEDA ,:,:,:,:,:,:,4,:,:,3,:,:,3,:,:,:,:,:,:,:
ABEEDAH ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABEEHA ,29,21,20,20,22,14,6,9,11,4,:,:,:,:,:,:,:,:,:,:
ABEER ,4,5,10,3,9,:,3,:,3,12,7,3,7,6,6,:,6,:,:,:
ABEERA ,17,18,20,20,19,10,10,5,4,:,:,:,:,:,:,:,:,:,:,:
ABEERAH ,7,4,:,4,3,5,:,6,4,:,:,:,:,:,:,:,:,:,:,:
ABELA ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABELLA ,:,5,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABENA ,7,:,8,8,10,4,8,9,10,12,13,9,7,10,5,6,9,6,3,3
ABENI ,:,:,:,:,:,:,:,3,:,:,:,:,3,:,:,:,:,:,:,:
