Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
ABDIKADIR ,:,:,:,:,4,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:
ABDIKARIM ,3,3,3,3,:,4,3,:,5,3,6,4,3,:,3,:,3,:,:,:
ABDIKARIN ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABDIKHALIQ ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABDILADIF ,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
ABDILAHI ,:,:,:,3,4,:,4,:,:,:,3,4,4,:,:,:,:,:,:,:
ABDILLAHI ,3,3,:,3,:,4,3,4,5,3,3,4,5,3,3,5,3,:,:,:
ABDIMAJID ,:,:,:,:,:,:,:,:,4,:,4,:,:,:,:,:,:,:,:,:
ABDIMAJIID ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABDIMALIK ,7,5,5,6,5,6,13,12,8,10,3,6,6,3,:,4,:,:,:,3
ABDINASIR ,3,:,5,:,9,:,3,9,5,:,3,7,4,5,:,:,:,6,3,4
ABDINUR ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDIQANI ,:,3,:,3,4,4,:,5,3,4,:,6,:,:,:,:,:,:,:,:
ABDIRAHIIM ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDIRAHIM ,:,:,4,3,3,4,8,5,5,9,9,5,6,5,4,:,3,:,:,:
ABDIRAHMAAN ,:,:,:,:,:,3,:,:,:,4,:,:,:,:,:,:,:,:,:,:
ABDIRAHMAN ,46,54,65,64,69,71,75,89,88,98,92,67,58,37,25,25,26,32,10,13
ABDIRASHID ,4,:,:,:,4,3,3,5,:,3,5,:,:,:,:,3,:,:,:,:
ABDIRAXMAN ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
ABDIRAZAQ ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDIRISAK ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDIRISAQ ,:,:,:,3,:,:,:,:,:,:,4,:,5,:,:,:,3,3,:,:
ABDIRIZAK ,3,:,:,:,3,:,:,:,4,4,3,:,3,3,:,:,:,:,3,:
ABDISALAM ,:,:,:,:,4,:,:,4,4,3,:,:,:,:,:,:,:,:,:,:
ABDISAMAD ,:,:,:,3,:,4,:,4,:,4,5,4,:,:,:,:,:,:,:,:
ABDISHAKUR ,:,:,:,5,5,:,:,:,7,4,4,5,4,:,6,:,4,:,:,:
ABDIWAHAB ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDIWAHID ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
ABDIWALI ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3
ABDOU ,4,:,:,5,:,6,3,:,:,4,:,3,:,4,:,4,4,3,4,:
ABDOUL ,4,6,4,4,4,5,4,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDOULAYE ,:,3,:,:,3,3,5,:,:,:,:,:,:,:,3,:,:,:,:,:
ABDOULIE ,4,9,8,5,7,7,6,5,5,4,6,4,4,5,:,:,:,:,3,3
ABDOULLAH ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDOURAHMAN ,:,:,:,4,3,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:
ABDU ,:,:,:,:,5,3,:,3,3,:,:,3,:,:,:,:,:,:,:,5
ABDUALLAH ,:,3,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL ,300,307,300,314,284,340,316,298,298,312,279,281,308,260,232,230,227,234,239,201
